Epoch;MSE;ERROR;Alpha: 0,95;Lambda: 1e-06
116.400;0,00120392;0
116.500;0,00120314;0
116.600;0,0012023;0
116.700;0,00120153;0
116.800;0,00120069;0
116.900;0,00119992;0
117.000;0,00119909;0
117.100;0,00119832;0
117.200;0,00119749;0
117.300;0,00119673;0
117.400;0,0011959;0
117.500;0,00119514;0
117.600;0,00119432;0
117.700;0,00119356;0
117.800;0,00119274;0
117.900;0,00119198;0
118.000;0,00119117;0
118.100;0,00119041;0
118.200;0,0011896;0
118.300;0,00118885;0
118.400;0,00118804;0
118.500;0,00118729;0
118.600;0,00118648;0
118.700;0,00118574;0
118.800;0,00118493;0
118.900;0,00118419;0
119.000;0,00118339;0
119.100;0,00118265;0
119.200;0,00118185;0
119.300;0,00118112;0
119.400;0,00118032;0
119.500;0,00117959;0
119.600;0,00117879;0
119.700;0,00117806;0
119.800;0,00117727;0
119.900;0,00117655;0
120.000;0,00117576;0
120.100;0,00117503;0
120.200;0,00117425;0
120.300;0,00117353;0
120.400;0,00117275;0
120.500;0,00117203;0
120.600;0,00117125;0
120.700;0,00117053;0
120.800;0,00116976;0
120.900;0,00116904;0
121.000;0,00116827;0
121.100;0,00116756;0
121.200;0,00116679;0
121.300;0,00116608;0
121.400;0,00116531;0
121.500;0,00116461;0
121.600;0,00116384;0
121.700;0,00116314;0
121.800;0,00116238;0
121.900;0,00116168;0
122.000;0,00116092;0
122.100;0,00116022;0
122.200;0,00115947;0
122.300;0,00115877;0
122.400;0,00115802;0
122.500;0,00115732;0
122.600;0,00115658;0
122.700;0,00115588;0
122.800;0,00115514;0
122.900;0,00115445;0
123.000;0,0011537;0
123.100;0,00115302;0
123.200;0,00115228;0
123.300;0,00115159;0
123.400;0,00115086;0
123.500;0,00115017;0
123.600;0,00114944;0
123.700;0,00114876;0
123.800;0,00114803;0
123.900;0,00114735;0
124.000;0,00114662;0
124.100;0,00114595;0
124.200;0,00114522;0
124.300;0,00114455;0
124.400;0,00114382;0
124.500;0,00114315;0
124.600;0,00114243;0
124.700;0,00114176;0
124.800;0,00114104;0
124.900;0,00114038;0
125.000;0,00113966;0
125.100;0,001139;0
125.200;0,00113829;0
125.300;0,00113763;0
125.400;0,00113692;0
125.500;0,00113626;0
125.600;0,00113555;0
125.700;0,00113489;0
125.800;0,00113419;0
125.900;0,00113354;0
126.000;0,00113283;0
126.100;0,00113218;0
126.200;0,00113148;0
126.300;0,00113083;0
126.400;0,00113013;0
126.500;0,00112949;0
126.600;0,00112879;0
126.700;0,00112815;0
126.800;0,00112745;0
126.900;0,00112681;0
127.000;0,00112612;0
127.100;0,00112548;0
127.200;0,00112479;0
127.300;0,00112416;0
127.400;0,00112347;0
127.500;0,00112283;0
127.600;0,00112215;0
127.700;0,00112152;0
127.800;0,00112083;0
127.900;0,00112021;0
128.000;0,00111953;0
128.100;0,0011189;0
128.200;0,00111822;0
128.300;0,0011176;0
128.400;0,00111692;0
128.500;0,0011163;0
128.600;0,00111563;0
128.700;0,001115;0
128.800;0,00111433;0
128.900;0,00111372;0
129.000;0,00111305;0
129.100;0,00111243;0
129.200;0,00111177;0
129.300;0,00111115;0
129.400;0,00111049;0
129.500;0,00110988;0
129.600;0,00110922;0
129.700;0,00110861;0
129.800;0,00110795;0
129.900;0,00110734;0
130.000;0,00110668;0
130.100;0,00110608;0
130.200;0,00110542;0
130.300;0,00110482;0
130.400;0,00110417;0
130.500;0,00110357;0
130.600;0,00110292;0
130.700;0,00110232;0
130.800;0,00110167;0
130.900;0,00110107;0
131.000;0,00110043;0
131.100;0,00109983;0
131.200;0,00109919;0
131.300;0,0010986;0
131.400;0,00109795;0
131.500;0,00109736;0
131.600;0,00109672;0
131.700;0,00109614;0
131.800;0,0010955;0
131.900;0,00109491;0
132.000;0,00109428;0
132.100;0,00109369;0
132.200;0,00109306;0
132.300;0,00109248;0
132.400;0,00109185;0
132.500;0,00109127;0
132.600;0,00109064;0
132.700;0,00109006;0
132.800;0,00108943;0
132.900;0,00108886;0
133.000;0,00108823;0
133.100;0,00108766;0
133.200;0,00108704;0
133.300;0,00108646;0
133.400;0,00108584;0
133.500;0,00108527;0
133.600;0,00108466;0
133.700;0,00108409;0
133.800;0,00108347;0
133.900;0,0010829;0
134.000;0,00108229;0
134.100;0,00108173;0
134.200;0,00108111;0
134.300;0,00108055;0
134.400;0,00107994;0
134.500;0,00107938;0
134.600;0,00107877;0
134.700;0,00107821;0
134.800;0,00107761;0
134.900;0,00107705;0
135.000;0,00107645;0
135.100;0,00107589;0
135.200;0,00107529;0
135.300;0,00107474;0
135.400;0,00107414;0
135.500;0,00107359;0
135.600;0,00107299;0
135.700;0,00107244;0
135.800;0,00107184;0
135.900;0,00107129;0
136.000;0,0010707;0
136.100;0,00107016;0
136.200;0,00106956;0
136.300;0,00106902;0
136.400;0,00106843;0
136.500;0,00106789;0
136.600;0,0010673;0
136.700;0,00106676;0
136.800;0,00106617;0
136.900;0,00106563;0
137.000;0,00106505;0
137.100;0,00106451;0
137.200;0,00106393;0
137.300;0,0010634;0
137.400;0,00106282;0
137.500;0,00106228;0
137.600;0,0010617;0
137.700;0,00106117;0
137.800;0,0010606;0
137.900;0,00106007;0
138.000;0,00105949;0
138.100;0,00105896;0
138.200;0,00105839;0
138.300;0,00105786;0
138.400;0,00105729;0
138.500;0,00105677;0
138.600;0,0010562;0
138.700;0,00105568;0
138.800;0,00105511;0
138.900;0,00105459;0
139.000;0,00105402;0
139.100;0,0010535;0
139.200;0,00105294;0
139.300;0,00105242;0
139.400;0,00105186;0
139.500;0,00105135;0
139.600;0,00105079;0
139.700;0,00105027;0
139.800;0,00104971;0
139.900;0,0010492;0
140.000;0,00104865;0
140.100;0,00104813;0
140.200;0,00104758;0
140.300;0,00104707;0
140.400;0,00104652;0
140.500;0,00104601;0
140.600;0,00104546;0
140.700;0,00104495;0
140.800;0,0010444;0
140.900;0,0010439;0
141.000;0,00104335;0
141.100;0,00104285;0
141.200;0,0010423;0
141.300;0,0010418;0
141.400;0,00104126;0
141.500;0,00104076;0
141.600;0,00104022;0
141.700;0,00103972;0
141.800;0,00103918;0
141.900;0,00103868;0
142.000;0,00103814;0
142.100;0,00103765;0
142.200;0,00103711;0
142.300;0,00103662;0
142.400;0,00103608;0
142.500;0,00103559;0
142.600;0,00103506;0
142.700;0,00103457;0
142.800;0,00103404;0
142.900;0,00103355;0
143.000;0,00103302;0
143.100;0,00103253;0
143.200;0,001032;0
143.300;0,00103152;0
143.400;0,00103099;0
143.500;0,00103051;0
143.600;0,00102998;0
143.700;0,0010295;0
143.800;0,00102898;0
143.900;0,00102849;0
144.000;0,00102797;0
144.100;0,00102749;0
144.200;0,00102697;0
144.300;0,0010265;0
144.400;0,00102598;0
144.500;0,0010255;0
144.600;0,00102498;0
144.700;0,00102451;0
144.800;0,00102399;0
144.900;0,00102352;0
145.000;0,00102301;0
145.100;0,00102253;0
145.200;0,00102202;0
145.300;0,00102155;0
145.400;0,00102104;0
145.500;0,00102057;0
145.600;0,00102007;0
145.700;0,0010196;0
145.800;0,00101909;0
145.900;0,00101862;0
146.000;0,00101812;0
146.100;0,00101765;0
146.200;0,00101715;0
146.300;0,00101669;0
146.400;0,00101618;0
146.500;0,00101572;0
146.600;0,00101522;0
146.700;0,00101476;0
146.800;0,00101426;0
146.900;0,0010138;0
147.000;0,00101331;0
147.100;0,00101285;0
147.200;0,00101235;0
147.300;0,0010119;0
147.400;0,0010114;0
147.500;0,00101095;0
147.600;0,00101045;0
147.700;0,00101;0
147.800;0,00100951;0
147.900;0,00100906;0
148.000;0,00100857;0
148.100;0,00100812;0
148.200;0,00100763;0
148.300;0,00100718;0
148.400;0,00100669;0
148.500;0,00100624;0
148.600;0,00100576;0
148.700;0,00100531;0
148.800;0,00100483;0
148.900;0,00100438;0
149.000;0,0010039;0
149.100;0,00100346;0
149.200;0,00100297;0
149.300;0,00100253;0
149.400;0,00100205;0
149.500;0,00100161;0
149.600;0,00100113;0
149.700;0,00100069;0
149.800;0,00100022;0
149.900;0,000999778;0
150.000;0,000999303;0
150.100;0,000998866;0
150.200;0,000998392;0
150.300;0,000997956;0
150.400;0,000997484;0
150.500;0,000997049;0
150.600;0,000996579;0
150.700;0,000996145;0
150.800;0,000995676;0
150.900;0,000995244;0
151.000;0,000994776;0
151.100;0,000994345;0
151.200;0,000993879;0
151.300;0,00099345;0
151.400;0,000992985;0
151.500;0,000992556;0
151.600;0,000992093;0
151.700;0,000991666;0
151.800;0,000991204;0
151.900;0,000990778;0
152.000;0,000990317;0
152.100;0,000989893;0
152.200;0,000989434;0
152.300;0,00098901;0
152.400;0,000988553;0
152.500;0,000988131;0
152.600;0,000987674;0
152.700;0,000987253;0
152.800;0,000986798;0
152.900;0,000986379;0
153.000;0,000985925;0
153.100;0,000985507;0
153.200;0,000985054;0
153.300;0,000984637;0
153.400;0,000984186;0
153.500;0,00098377;0
153.600;0,000983321;0
153.700;0,000982906;0
153.800;0,000982458;0
153.900;0,000982044;0
154.000;0,000981597;0
154.100;0,000981185;0
154.200;0,000980739;0
154.300;0,000980329;0
154.400;0,000979884;0
154.500;0,000979475;0
154.600;0,000979031;0
154.700;0,000978623;0
154.800;0,000978181;0
154.900;0,000977774;0
155.000;0,000977333;0
155.100;0,000976927;0
155.200;0,000976488;0
155.300;0,000976083;0
155.400;0,000975645;0
155.500;0,000975242;0
155.600;0,000974805;0
155.700;0,000974403;0
155.800;0,000973967;0
155.900;0,000973566;0
156.000;0,000973132;0
156.100;0,000972732;0
156.200;0,000972299;0
156.300;0,0009719;0
156.400;0,000971468;0
156.500;0,000971071;0
156.600;0,00097064;0
156.700;0,000970244;0
156.800;0,000969815;0
156.900;0,000969419;0
157.000;0,000968991;0
157.100;0,000968597;0
157.200;0,000968171;0
157.300;0,000967777;0
157.400;0,000967352;0
157.500;0,00096696;0
157.600;0,000966536;0
157.700;0,000966145;0
157.800;0,000965722;0
157.900;0,000965333;0
158.000;0,000964911;0
158.100;0,000964522;0
158.200;0,000964102;0
158.300;0,000963714;0
158.400;0,000963295;0
158.500;0,000962909;0
158.600;0,000962491;0
158.700;0,000962106;0
158.800;0,000961689;0
158.900;0,000961305;0
159.000;0,000960889;0
159.100;0,000960506;0
159.200;0,000960092;0
159.300;0,00095971;0
159.400;0,000959296;0
159.500;0,000958916;0
159.600;0,000958504;0
159.700;0,000958124;0
159.800;0,000957713;0
159.900;0,000957334;0
160.000;0,000956925;0
160.100;0,000956547;0
160.200;0,000956139;0
160.300;0,000955762;0
160.400;0,000955355;0
160.500;0,000954979;0
160.600;0,000954573;0
160.700;0,000954199;0
160.800;0,000953794;0
160.900;0,00095342;0
161.000;0,000953017;0
161.100;0,000952644;0
161.200;0,000952242;0
161.300;0,00095187;0
161.400;0,000951469;0
161.500;0,000951099;0
161.600;0,000950698;0
161.700;0,000950329;0
161.800;0,00094993;0
161.900;0,000949562;0
162.000;0,000949164;0
162.100;0,000948797;0
162.200;0,0009484;0
162.300;0,000948034;0
162.400;0,000947638;0
162.500;0,000947273;0
162.600;0,000946878;0
162.700;0,000946514;0
162.800;0,00094612;0
162.900;0,000945757;0
163.000;0,000945365;0
163.100;0,000945003;0
163.200;0,000944612;0
163.300;0,000944251;0
163.400;0,00094386;0
163.500;0,0009435;0
163.600;0,000943111;0
163.700;0,000942752;0
163.800;0,000942364;0
163.900;0,000942006;0
164.000;0,000941619;0
164.100;0,000941262;0
164.200;0,000940876;0
164.300;0,000940521;0
164.400;0,000940136;0
164.500;0,000939781;0
164.600;0,000939397;0
164.700;0,000939043;0
164.800;0,00093866;0
164.900;0,000938307;0
165.000;0,000937926;0
165.100;0,000937574;0
165.200;0,000937193;0
165.300;0,000936842;0
165.400;0,000936463;0
165.500;0,000936113;0
165.600;0,000935734;0
165.700;0,000935385;0
165.800;0,000935007;0
165.900;0,000934659;0
166.000;0,000934283;0
166.100;0,000933936;0
166.200;0,000933561;0
166.300;0,000933214;0
166.400;0,00093284;0
166.500;0,000932495;0
166.600;0,000932122;0
166.700;0,000931777;0
166.800;0,000931405;0
166.900;0,000931062;0
167.000;0,00093069;0
167.100;0,000930348;0
167.200;0,000929978;0
167.300;0,000929637;0
167.400;0,000929267;0
167.500;0,000928927;0
167.600;0,000928559;0
167.700;0,000928219;0
167.800;0,000927852;0
167.900;0,000927513;0
168.000;0,000927147;0
168.100;0,000926809;0
168.200;0,000926444;0
168.300;0,000926107;0
168.400;0,000925743;0
168.500;0,000925407;0
168.600;0,000925044;0
168.700;0,000924709;0
168.800;0,000924347;0
168.900;0,000924013;0
169.000;0,000923652;0
169.100;0,000923319;0
169.200;0,000922958;0
169.300;0,000922626;0
169.400;0,000922267;0
169.500;0,000921936;0
169.600;0,000921577;0
169.700;0,000921247;0
169.800;0,00092089;0
169.900;0,00092056;0
170.000;0,000920204;0
170.100;0,000919875;0
170.200;0,00091952;0
170.300;0,000919192;0
170.400;0,000918838;0
170.500;0,000918511;0
170.600;0,000918157;0
170.700;0,000917831;0
170.800;0,000917479;0
170.900;0,000917154;0
171.000;0,000916802;0
171.100;0,000916478;0
171.200;0,000916127;0
171.300;0,000915804;0
171.400;0,000915454;0
171.500;0,000915132;0
171.600;0,000914783;0
171.700;0,000914461;0
171.800;0,000914113;0
171.900;0,000913793;0
172.000;0,000913446;0
172.100;0,000913126;0
172.200;0,00091278;0
172.300;0,000912461;0
172.400;0,000912116;0
172.500;0,000911798;0
172.600;0,000911454;0
172.700;0,000911136;0
172.800;0,000910793;0
172.900;0,000910477;0
173.000;0,000910134;0
173.100;0,000909819;0
173.200;0,000909477;0
173.300;0,000909163;0
173.400;0,000908822;0
173.500;0,000908508;0
173.600;0,000908169;0
173.700;0,000907855;0
173.800;0,000907517;0
173.900;0,000907204;0
174.000;0,000906867;0
174.100;0,000906555;0
174.200;0,000906218;0
174.300;0,000905908;0
174.400;0,000905572;0
174.500;0,000905262;0
174.600;0,000904927;0
174.700;0,000904618;0
174.800;0,000904284;0
174.900;0,000903975;0
175.000;0,000903642;0
175.100;0,000903335;0
175.200;0,000903002;0
175.300;0,000902696;0
175.400;0,000902364;0
175.500;0,000902058;0
175.600;0,000901728;0
175.700;0,000901423;0
175.800;0,000901093;0
175.900;0,000900789;0
176.000;0,00090046;0
176.100;0,000900156;0
176.200;0,000899828;0
176.300;0,000899526;0
176.400;0,000899198;0
176.500;0,000898897;0
176.600;0,00089857;0
176.700;0,000898269;0
176.800;0,000897944;0
176.900;0,000897643;0
177.000;0,000897319;0
177.100;0,000897019;0
177.200;0,000896695;0
177.300;0,000896397;0
177.400;0,000896074;0
177.500;0,000895776;0
177.600;0,000895454;0
177.700;0,000895157;0
177.800;0,000894835;0
177.900;0,000894539;0
178.000;0,000894218;0
178.100;0,000893923;0
178.200;0,000893603;0
178.300;0,000893308;0
178.400;0,00089299;0
178.500;0,000892696;0
178.600;0,000892377;0
178.700;0,000892084;0
178.800;0,000891767;0
178.900;0,000891475;0
179.000;0,000891158;0
179.100;0,000890866;0
179.200;0,000890551;0
179.300;0,00089026;0
179.400;0,000889945;0
179.500;0,000889655;0
179.600;0,000889341;0
179.700;0,000889051;0
179.800;0,000888738;0
179.900;0,00088845;0
180.000;0,000888137;0
180.100;0,000887849;0
180.200;0,000887538;0
180.300;0,00088725;0
180.400;0,00088694;0
180.500;0,000886653;0
180.600;0,000886343;0
180.700;0,000886057;0
180.800;0,000885748;0
180.900;0,000885463;0
181.000;0,000885155;0
181.100;0,00088487;0
181.200;0,000884563;0
181.300;0,000884279;0
181.400;0,000883972;0
181.500;0,00088369;0
181.600;0,000883384;0
181.700;0,000883101;0
181.800;0,000882796;0
181.900;0,000882515;0
182.000;0,00088221;0
182.100;0,00088193;0
182.200;0,000881626;0
182.300;0,000881346;0
182.400;0,000881043;0
182.500;0,000880764;0
182.600;0,000880461;0
182.700;0,000880183;0
182.800;0,000879881;0
182.900;0,000879604;0
183.000;0,000879303;0
183.100;0,000879026;0
183.200;0,000878726;0
183.300;0,000878449;0
183.400;0,00087815;0
183.500;0,000877875;0
183.600;0,000877576;0
183.700;0,000877301;0
183.800;0,000877003;0
183.900;0,000876729;0
184.000;0,000876432;0
184.100;0,000876159;0
184.200;0,000875862;0
184.300;0,000875589;0
184.400;0,000875294;0
184.500;0,000875022;0
184.600;0,000874727;0
184.700;0,000874455;0
184.800;0,000874162;0
184.900;0,000873891;0
185.000;0,000873597;0
185.100;0,000873327;0
185.200;0,000873035;0
185.300;0,000872765;0
185.400;0,000872473;0
185.500;0,000872205;0
185.600;0,000871914;0
185.700;0,000871645;0
185.800;0,000871355;0
185.900;0,000871087;0
186.000;0,000870798;0
186.100;0,000870531;0
186.200;0,000870242;0
186.300;0,000869976;0
186.400;0,000869688;0
186.500;0,000869422;0
186.600;0,000869135;0
186.700;0,00086887;0
186.800;0,000868583;0
186.900;0,000868319;0
187.000;0,000868033;0
187.100;0,00086777;0
187.200;0,000867484;0
187.300;0,000867221;0
187.400;0,000866937;0
187.500;0,000866675;0
187.600;0,000866391;0
187.700;0,000866129;0
187.800;0,000865846;0
187.900;0,000865585;0
188.000;0,000865303;0
188.100;0,000865042;0
188.200;0,00086476;0
188.300;0,000864501;0
188.400;0,00086422;0
188.500;0,000863961;0
188.600;0,00086368;0
188.700;0,000863422;0
188.800;0,000863142;0
188.900;0,000862884;0
189.000;0,000862605;0
189.100;0,000862348;0
189.200;0,00086207;0
189.300;0,000861813;0
189.400;0,000861536;0
189.500;0,00086128;0
189.600;0,000861003;0
189.700;0,000860748;0
189.800;0,000860471;0
189.900;0,000860217;0
190.000;0,000859941;0
190.100;0,000859687;0
190.200;0,000859412;0
190.300;0,000859159;0
190.400;0,000858885;0
190.500;0,000858632;0
190.600;0,000858358;0
190.700;0,000858106;0
190.800;0,000857833;0
190.900;0,000857582;0
191.000;0,000857309;0
191.100;0,000857058;0
191.200;0,000856787;0
191.300;0,000856537;0
191.400;0,000856266;0
191.500;0,000856016;0
191.600;0,000855746;0
191.700;0,000855496;0
191.800;0,000855227;0
191.900;0,000854978;0
192.000;0,000854709;0
192.100;0,000854462;0
192.200;0,000854193;0
192.300;0,000853946;0
192.400;0,000853678;0
192.500;0,000853432;0
192.600;0,000853165;0
192.700;0,000852918;0
192.800;0,000852652;0
192.900;0,000852407;0
193.000;0,000852141;0
193.100;0,000851896;0
193.200;0,000851631;0
193.300;0,000851386;0
193.400;0,000851122;0
193.500;0,000850878;0
193.600;0,000850614;0
193.700;0,000850371;0
193.800;0,000850108;0
193.900;0,000849866;0
194.000;0,000849603;0
194.100;0,000849361;0
194.200;0,000849099;0
194.300;0,000848858;0
194.400;0,000848596;0
194.500;0,000848356;0
194.600;0,000848095;0
194.700;0,000847855;0
194.800;0,000847595;0
194.900;0,000847355;0
195.000;0,000847095;0
195.100;0,000846856;0
195.200;0,000846598;0
195.300;0,000846359;0
195.400;0,000846101;0
195.500;0,000845863;0
195.600;0,000845605;0
195.700;0,000845368;0
195.800;0,000845111;0
195.900;0,000844874;0
196.000;0,000844618;0
196.100;0,000844381;0
196.200;0,000844126;0
196.300;0,00084389;0
196.400;0,000843635;0
196.500;0,0008434;0
196.600;0,000843145;0
196.700;0,000842911;0
196.800;0,000842657;0
196.900;0,000842423;0
197.000;0,000842169;0
197.100;0,000841936;0
197.200;0,000841683;0
197.300;0,00084145;0
197.400;0,000841198;0
197.500;0,000840966;0
197.600;0,000840714;0
197.700;0,000840482;0
197.800;0,000840231;0
197.900;0,00084;0
198.000;0,00083975;0
198.100;0,000839519;0
198.200;0,000839269;0
198.300;0,000839039;0
198.400;0,00083879;0
198.500;0,00083856;0
198.600;0,000838311;0
198.700;0,000838082;0
198.800;0,000837834;0
198.900;0,000837606;0
199.000;0,000837358;0
199.100;0,00083713;0
199.200;0,000836883;0
199.300;0,000836656;0
199.400;0,00083641;0
199.500;0,000836183;0
199.600;0,000835937;0
199.700;0,000835711;0
199.800;0,000835465;0
199.900;0,000835239;0
200.000;0,000834995;0
