Epoch;MSE;ERROR;Alpha: 0,95;Lambda: 1e-06
23.900;0,00631909;0
24.000;0,00628204;0
24.100;0,00624822;0
24.200;0,00621201;0
24.300;0,00617897;0
24.400;0,00614359;0
24.500;0,00611129;0
24.600;0,0060767;0
24.700;0,00604512;0
24.800;0,00601129;0
24.900;0,00598042;0
25.000;0,00594733;0
25.100;0,00591713;0
25.200;0,00588476;0
25.300;0,00585521;0
25.400;0,00582354;0
25.500;0,00579461;0
25.600;0,00576362;0
25.700;0,00573531;0
25.800;0,00570496;0
25.900;0,00567724;0
26.000;0,00564753;0
26.100;0,00562038;0
26.200;0,00559128;0
26.300;0,00556469;0
26.400;0,00553618;0
26.500;0,00551013;0
26.600;0,0054822;0
26.700;0,00545667;0
26.800;0,0054293;0
26.900;0,00540428;0
27.000;0,00537744;0
27.100;0,00535292;0
27.200;0,00532661;0
27.300;0,00530256;0
27.400;0,00527676;0
27.500;0,00525318;0
27.600;0,00522788;0
27.700;0,00520474;0
27.800;0,00517992;0
27.900;0,00515723;0
28.000;0,00513288;0
28.100;0,00511061;0
28.200;0,00508671;0
28.300;0,00506486;0
28.400;0,00504141;0
28.500;0,00501995;0
28.600;0,00499693;0
28.700;0,00497587;0
28.800;0,00495327;0
28.900;0,00493259;0
29.000;0,00491039;0
29.100;0,00489008;0
29.200;0,00486828;0
29.300;0,00484834;0
29.400;0,00482692;0
29.500;0,00480733;0
29.600;0,00478629;0
29.700;0,00476704;0
29.800;0,00474636;0
29.900;0,00472745;0
30.000;0,00470713;0
30.100;0,00468854;0
30.200;0,00466857;0
30.300;0,00465029;0
30.400;0,00463066;0
30.500;0,0046127;0
30.600;0,0045934;0
30.700;0,00457573;0
30.800;0,00455676;0
30.900;0,00453938;0
31.000;0,00452072;0
31.100;0,00450363;0
31.200;0,00448528;0
31.300;0,00446847;0
31.400;0,00445041;0
31.500;0,00443388;0
31.600;0,00441612;0
31.700;0,00439985;0
31.800;0,00438237;0
31.900;0,00436636;0
32.000;0,00434916;0
32.100;0,0043334;0
32.200;0,00431647;0
32.300;0,00430097;0
32.400;0,0042843;0
32.500;0,00426904;0
32.600;0,00425263;0
32.700;0,0042376;0
32.800;0,00422145;0
32.900;0,00420665;0
33.000;0,00419075;0
33.100;0,00417618;0
33.200;0,00416051;0
33.300;0,00414616;0
33.400;0,00413073;0
33.500;0,0041166;0
33.600;0,0041014;0
33.700;0,00408748;0
33.800;0,00407251;0
33.900;0,00405879;0
34.000;0,00404404;0
34.100;0,00403053;0
34.200;0,00401599;0
34.300;0,00400267;0
34.400;0,00398835;0
34.500;0,00397523;0
34.600;0,00396111;0
34.700;0,00394818;0
34.800;0,00393426;0
34.900;0,00392151;0
35.000;0,0039078;0
35.100;0,00389523;0
35.200;0,00388171;0
35.300;0,00386932;0
35.400;0,00385598;0
35.500;0,00384377;0
35.600;0,00383062;0
35.700;0,00381857;0
35.800;0,00380561;0
35.900;0,00379373;0
36.000;0,00378094;0
36.100;0,00376923;0
36.200;0,00375662;0
36.300;0,00374506;0
36.400;0,00373262;0
36.500;0,00372122;0
36.600;0,00370895;0
36.700;0,0036977;0
36.800;0,00368559;0
36.900;0,00367449;0
37.000;0,00366255;0
37.100;0,0036516;0
37.200;0,00363981;0
37.300;0,00362901;0
37.400;0,00361738;0
37.500;0,00360671;0
37.600;0,00359523;0
37.700;0,00358471;0
37.800;0,00357338;0
37.900;0,00356299;0
38.000;0,0035518;0
38.100;0,00354155;0
38.200;0,00353051;0
38.300;0,00352038;0
38.400;0,00350949;0
38.500;0,00349949;0
38.600;0,00348873;0
38.700;0,00347886;0
38.800;0,00346823;0
38.900;0,00345849;0
39.000;0,00344799;0
39.100;0,00343837;0
39.200;0,00342801;0
39.300;0,0034185;0
39.400;0,00340827;0
39.500;0,00339888;0
39.600;0,00338877;0
39.700;0,0033795;0
39.800;0,00336952;0
39.900;0,00336036;0
40.000;0,0033505;0
40.100;0,00334145;0
40.200;0,0033317;0
40.300;0,00332276;0
40.400;0,00331314;0
40.500;0,0033043;0
40.600;0,00329479;0
40.700;0,00328606;0
40.800;0,00327667;0
40.900;0,00326804;0
41.000;0,00325875;0
41.100;0,00325023;0
41.200;0,00324105;0
41.300;0,00323263;0
41.400;0,00322356;0
41.500;0,00321523;0
41.600;0,00320626;0
41.700;0,00319804;0
41.800;0,00318917;0
41.900;0,00318104;0
42.000;0,00317228;0
42.100;0,00316424;0
42.200;0,00315558;0
42.300;0,00314763;0
42.400;0,00313906;0
42.500;0,0031312;0
42.600;0,00312274;0
42.700;0,00311497;0
42.800;0,00310659;0
42.900;0,00309891;0
43.000;0,00309063;0
43.100;0,00308303;0
43.200;0,00307485;0
43.300;0,00306733;0
43.400;0,00305924;0
43.500;0,00305181;0
43.600;0,0030438;0
43.700;0,00303645;0
43.800;0,00302853;0
43.900;0,00302126;0
44.000;0,00301343;0
44.100;0,00300624;0
44.200;0,00299849;0
44.300;0,00299138;0
44.400;0,00298371;0
44.500;0,00297668;0
44.600;0,00296909;0
44.700;0,00296213;0
44.800;0,00295463;0
44.900;0,00294774;0
45.000;0,00294032;0
45.100;0,0029335;0
45.200;0,00292616;0
45.300;0,00291942;0
45.400;0,00291215;0
45.500;0,00290548;0
45.600;0,00289828;0
45.700;0,00289168;0
45.800;0,00288456;0
45.900;0,00287803;0
46.000;0,00287099;0
46.100;0,00286452;0
46.200;0,00285755;0
46.300;0,00285115;0
46.400;0,00284425;0
46.500;0,00283791;0
46.600;0,00283108;0
46.700;0,00282481;0
46.800;0,00281805;0
46.900;0,00281184;0
47.000;0,00280515;0
47.100;0,002799;0
47.200;0,00279238;0
47.300;0,0027863;0
47.400;0,00277974;0
47.500;0,00277371;0
47.600;0,00276722;0
47.700;0,00276126;0
47.800;0,00275483;0
47.900;0,00274892;0
48.000;0,00274256;0
48.100;0,00273671;0
48.200;0,00273041;0
48.300;0,00272462;0
48.400;0,00271837;0
48.500;0,00271264;0
48.600;0,00270646;0
48.700;0,00270078;0
48.800;0,00269466;0
48.900;0,00268904;0
49.000;0,00268297;0
49.100;0,0026774;0
49.200;0,0026714;0
49.300;0,00266588;0
49.400;0,00265994;0
49.500;0,00265447;0
49.600;0,00264858;0
49.700;0,00264317;0
49.800;0,00263733;0
49.900;0,00263197;0
50.000;0,00262619;0
50.100;0,00262088;0
50.200;0,00261516;0
50.300;0,00260989;0
50.400;0,00260422;0
50.500;0,00259901;0
50.600;0,00259339;0
50.700;0,00258823;0
50.800;0,00258266;0
50.900;0,00257754;0
51.000;0,00257202;0
51.100;0,00256695;0
51.200;0,00256149;0
51.300;0,00255646;0
51.400;0,00255105;0
51.500;0,00254607;0
51.600;0,0025407;0
51.700;0,00253577;0
51.800;0,00253045;0
51.900;0,00252556;0
52.000;0,00252029;0
52.100;0,00251545;0
52.200;0,00251022;0
52.300;0,00250542;0
52.400;0,00250024;0
52.500;0,00249548;0
52.600;0,00249035;0
52.700;0,00248564;0
52.800;0,00248055;0
52.900;0,00247588;0
53.000;0,00247083;0
53.100;0,0024662;0
53.200;0,0024612;0
53.300;0,00245661;0
53.400;0,00245166;0
53.500;0,00244711;0
53.600;0,00244219;0
53.700;0,00243768;0
53.800;0,00243281;0
53.900;0,00242834;0
54.000;0,00242351;0
54.100;0,00241908;0
54.200;0,00241429;0
54.300;0,0024099;0
54.400;0,00240515;0
54.500;0,00240079;0
54.600;0,00239609;0
54.700;0,00239177;0
54.800;0,0023871;0
54.900;0,00238282;0
55.000;0,00237819;0
55.100;0,00237394;0
55.200;0,00236936;0
55.300;0,00236514;0
55.400;0,0023606;0
55.500;0,00235642;0
55.600;0,00235191;0
55.700;0,00234776;0
55.800;0,00234329;0
55.900;0,00233918;0
56.000;0,00233475;0
56.100;0,00233067;0
56.200;0,00232627;0
56.300;0,00232223;0
56.400;0,00231787;0
56.500;0,00231386;0
56.600;0,00230954;0
56.700;0,00230556;0
56.800;0,00230127;0
56.900;0,00229732;0
57.000;0,00229307;0
57.100;0,00228916;0
57.200;0,00228494;0
57.300;0,00228105;0
57.400;0,00227687;0
57.500;0,00227302;0
57.600;0,00226886;0
57.700;0,00226505;0
57.800;0,00226093;0
57.900;0,00225714;0
58.000;0,00225305;0
58.100;0,00224929;0
58.200;0,00224524;0
58.300;0,00224151;0
58.400;0,00223749;0
58.500;0,00223379;0
58.600;0,0022298;0
58.700;0,00222613;0
58.800;0,00222217;0
58.900;0,00221853;0
59.000;0,0022146;0
59.100;0,00221099;0
59.200;0,00220709;0
59.300;0,0022035;0
59.400;0,00219963;0
59.500;0,00219608;0
59.600;0,00219224;0
59.700;0,00218871;0
59.800;0,0021849;0
59.900;0,0021814;0
60.000;0,00217762;0
60.100;0,00217415;0
60.200;0,0021704;0
60.300;0,00216695;0
60.400;0,00216323;0
60.500;0,0021598;0
60.600;0,00215611;0
60.700;0,00215271;0
60.800;0,00214905;0
60.900;0,00214568;0
61.000;0,00214204;0
61.100;0,00213869;0
61.200;0,00213508;0
61.300;0,00213176;0
61.400;0,00212818;0
61.500;0,00212488;0
61.600;0,00212133;0
61.700;0,00211806;0
61.800;0,00211453;0
61.900;0,00211128;0
62.000;0,00210778;0
62.100;0,00210455;0
62.200;0,00210107;0
62.300;0,00209788;0
62.400;0,00209442;0
62.500;0,00209125;0
62.600;0,00208782;0
62.700;0,00208467;0
62.800;0,00208127;0
62.900;0,00207814;0
63.000;0,00207476;0
63.100;0,00207165;0
63.200;0,0020683;0
63.300;0,00206522;0
63.400;0,00206189;0
63.500;0,00205883;0
63.600;0,00205552;0
63.700;0,00205248;0
63.800;0,0020492;0
63.900;0,00204618;0
64.000;0,00204292;0
64.100;0,00203993;0
64.200;0,00203669;0
64.300;0,00203372;0
64.400;0,00203051;0
64.500;0,00202755;0
64.600;0,00202437;0
64.700;0,00202143;0
64.800;0,00201827;0
64.900;0,00201535;0
65.000;0,00201221;0
65.100;0,00200932;0
65.200;0,0020062;0
65.300;0,00200332;0
65.400;0,00200023;0
65.500;0,00199737;0
65.600;0,0019943;0
65.700;0,00199146;0
65.800;0,00198841;0
65.900;0,00198559;0
66.000;0,00198256;0
66.100;0,00197977;0
66.200;0,00197675;0
66.300;0,00197398;0
66.400;0,00197098;0
66.500;0,00196823;0
66.600;0,00196526;0
66.700;0,00196252;0
66.800;0,00195957;0
66.900;0,00195685;0
67.000;0,00195392;0
67.100;0,00195122;0
67.200;0,00194831;0
67.300;0,00194563;0
67.400;0,00194273;0
67.500;0,00194007;0
67.600;0,0019372;0
67.700;0,00193455;0
67.800;0,0019317;0
67.900;0,00192907;0
68.000;0,00192624;0
68.100;0,00192363;0
68.200;0,00192081;0
68.300;0,00191822;0
68.400;0,00191542;0
68.500;0,00191285;0
68.600;0,00191007;0
68.700;0,00190751;0
68.800;0,00190475;0
68.900;0,00190221;0
69.000;0,00189947;0
69.100;0,00189695;0
69.200;0,00189422;0
69.300;0,00189171;0
69.400;0,00188901;0
69.500;0,00188652;0
69.600;0,00188383;0
69.700;0,00188136;0
69.800;0,00187868;0
69.900;0,00187623;0
70.000;0,00187357;0
70.100;0,00187113;0
70.200;0,00186849;0
70.300;0,00186607;0
70.400;0,00186345;0
70.500;0,00186104;0
70.600;0,00185843;0
70.700;0,00185604;0
70.800;0,00185345;0
70.900;0,00185107;0
71.000;0,0018485;0
71.100;0,00184614;0
71.200;0,00184359;0
71.300;0,00184124;0
71.400;0,0018387;0
71.500;0,00183636;0
71.600;0,00183384;0
71.700;0,00183152;0
71.800;0,00182902;0
71.900;0,00182671;0
72.000;0,00182423;0
72.100;0,00182193;0
72.200;0,00181946;0
72.300;0,00181719;0
72.400;0,00181473;0
72.500;0,00181247;0
72.600;0,00181002;0
72.700;0,00180777;0
72.800;0,00180535;0
72.900;0,00180311;0
73.000;0,0018007;0
73.100;0,00179848;0
73.200;0,00179608;0
73.300;0,00179388;0
73.400;0,0017915;0
73.500;0,0017893;0
73.600;0,00178694;0
73.700;0,00178476;0
73.800;0,0017824;0
73.900;0,00178024;0
74.000;0,0017779;0
74.100;0,00177575;0
74.200;0,00177342;0
74.300;0,00177128;0
74.400;0,00176897;0
74.500;0,00176685;0
74.600;0,00176455;0
74.700;0,00176244;0
74.800;0,00176015;0
74.900;0,00175805;0
75.000;0,00175578;0
75.100;0,0017537;0
75.200;0,00175144;0
75.300;0,00174937;0
75.400;0,00174712;0
75.500;0,00174506;0
75.600;0,00174283;0
75.700;0,00174078;0
75.800;0,00173857;0
75.900;0,00173653;0
76.000;0,00173433;0
76.100;0,0017323;0
76.200;0,00173011;0
76.300;0,0017281;0
76.400;0,00172592;0
76.500;0,00172392;0
76.600;0,00172176;0
76.700;0,00171977;0
76.800;0,00171762;0
76.900;0,00171564;0
77.000;0,0017135;0
77.100;0,00171154;0
77.200;0,00170941;0
77.300;0,00170745;0
77.400;0,00170534;0
77.500;0,0017034;0
77.600;0,0017013;0
77.700;0,00169937;0
77.800;0,00169728;0
77.900;0,00169536;0
78.000;0,00169328;0
78.100;0,00169137;0
78.200;0,00168931;0
78.300;0,00168741;0
78.400;0,00168535;0
78.500;0,00168347;0
78.600;0,00168143;0
78.700;0,00167955;0
78.800;0,00167752;0
78.900;0,00167565;0
79.000;0,00167364;0
79.100;0,00167178;0
79.200;0,00166977;0
79.300;0,00166793;0
79.400;0,00166593;0
79.500;0,0016641;0
79.600;0,00166212;0
79.700;0,00166029;0
79.800;0,00165832;0
79.900;0,00165651;0
80.000;0,00165455;0
80.100;0,00165274;0
80.200;0,00165079;0
80.300;0,001649;0
80.400;0,00164706;0
80.500;0,00164528;0
80.600;0,00164335;0
80.700;0,00164157;0
80.800;0,00163966;0
80.900;0,00163789;0
81.000;0,00163599;0
81.100;0,00163423;0
81.200;0,00163234;0
81.300;0,00163059;0
81.400;0,00162871;0
81.500;0,00162697;0
81.600;0,0016251;0
81.700;0,00162337;0
81.800;0,00162151;0
81.900;0,00161979;0
82.000;0,00161794;0
82.100;0,00161623;0
82.200;0,00161439;0
82.300;0,00161269;0
82.400;0,00161086;0
82.500;0,00160917;0
82.600;0,00160735;0
82.700;0,00160567;0
82.800;0,00160386;0
82.900;0,00160219;0
83.000;0,00160038;0
83.100;0,00159872;0
83.200;0,00159693;0
83.300;0,00159528;0
83.400;0,00159349;0
83.500;0,00159185;0
83.600;0,00159007;0
83.700;0,00158844;0
83.800;0,00158668;0
83.900;0,00158505;0
84.000;0,00158329;0
84.100;0,00158168;0
84.200;0,00157993;0
84.300;0,00157832;0
84.400;0,00157659;0
84.500;0,00157499;0
84.600;0,00157326;0
84.700;0,00157167;0
84.800;0,00156995;0
84.900;0,00156837;0
85.000;0,00156666;0
85.100;0,00156509;0
85.200;0,00156339;0
85.300;0,00156182;0
85.400;0,00156013;0
85.500;0,00155857;0
85.600;0,00155689;0
85.700;0,00155534;0
85.800;0,00155367;0
85.900;0,00155213;0
86.000;0,00155046;0
86.100;0,00154893;0
86.200;0,00154727;0
86.300;0,00154575;0
86.400;0,0015441;0
86.500;0,00154258;0
86.600;0,00154094;0
86.700;0,00153943;0
86.800;0,0015378;0
86.900;0,0015363;0
87.000;0,00153468;0
